,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_ribeye_cap_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",66.5,187.0,784.0,19.46,11.4,0.89,1.75,0.0,6.0,2.64,88.0,0.0,4.359,0.006,0.275,2.457,1.49,5.171,0.347,4.672,0.453,0.357,0.017,0.077,64.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.04,143.0,597.0,21.78,6.16,1.11,0.0,0.0,13.0,2.55,45.0,0.0,2.123,0.004,0.136,1.183,0.698,2.338,0.163,2.089,0.45,0.346,0.012,0.06,60.0
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",70.89,148.0,619.0,22.55,6.41,1.03,0.0,0.0,5.0,1.8,55.0,0.0,2.313,0.002,0.141,1.302,0.759,2.83,0.178,2.528,0.396,0.314,0.003,0.056,70.0
"Beef_flank_steak_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",69.46,165.0,692.0,21.22,8.29,1.02,0.0,0.0,27.0,1.55,54.0,0.0,3.443,0.016,0.25,2.17,0.991,3.38,0.343,3.029,0.335,0.195,0.094,0.031,68.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",73.56,128.0,535.0,21.44,4.68,0.98,0.0,0.0,5.0,1.98,52.0,0.0,1.568,0.002,0.113,0.946,0.444,2.083,0.123,1.907,0.18,0.152,0.005,0.023,67.0
Beef_Australian_imported_Wagyu_loin_tenderloin_steakslashroast_boneless_separable_lean_and_fat_Aust._marble_score_4slash5_raw,65.2,206.0,860.0,19.71,14.09,1.02,0.0,0.0,4.0,2.2,63.0,0.0,6.105,0.01,0.402,3.455,1.95,6.167,0.368,5.692,0.531,0.409,0.034,0.064,60.0
"Beef_round_knuckle_tip_side_steak_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",73.25,129.0,539.0,21.69,4.0,1.09,0.0,0.0,5.0,2.22,61.0,0.0,1.578,0.0,0.11,0.958,0.44,1.881,0.149,1.694,0.275,0.215,0.009,0.051,61.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.42,139.0,583.0,20.36,6.42,1.1,0.0,0.0,12.0,2.51,83.0,0.0,2.73,0.0,0.168,1.533,0.937,3.29,0.215,2.975,0.36,0.3,0.008,0.051,69.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",74.46,117.0,488.0,21.22,3.53,1.12,0.0,0.0,11.0,2.26,76.0,0.0,1.47,0.0,0.082,0.834,0.5,1.7,0.107,1.544,0.32,0.27,0.0,0.05,68.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_only_trimmed_to_0""_fat_choice_raw",68.24,178.0,746.0,19.23,10.96,0.91,0.67,0.0,12.0,2.4,76.0,0.0,4.588,0.0,0.294,2.472,1.663,5.45,0.349,4.915,0.576,0.498,0.021,0.056,70.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.3,133.0,556.0,21.17,5.33,1.13,0.07,0.0,12.0,2.66,74.0,0.0,2.124,0.0,0.136,1.178,0.742,2.648,0.182,2.381,0.329,0.27,0.003,0.053,64.0
"Beef_chuck_eye_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",71.41,143.0,600.0,21.28,6.47,0.98,0.0,0.0,15.0,2.33,73.0,0.0,2.759,0.0,0.171,1.491,1.004,3.143,0.193,2.858,0.392,0.336,0.013,0.042,69.0
"Beef_loin_top_loin_steak_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.63,143.0,600.0,23.07,5.67,1.02,0.0,0.0,15.0,1.84,46.0,0.0,2.345,0.005,0.152,1.36,0.723,2.711,0.2,2.42,0.381,0.3,0.009,0.046,60.0
"Beef_short_loin_t-bone_steak_bone-in_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",69.97,160.0,669.0,22.1,7.27,1.0,0.0,0.0,21.0,1.65,35.0,0.0,2.782,0.005,0.174,1.577,0.911,3.091,0.216,2.775,0.374,0.292,0.012,0.041,59.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_choice_raw",69.22,162.0,679.0,21.44,8.5,0.97,0.0,0.0,7.0,2.04,56.0,0.0,3.057,0.005,0.184,1.699,1.018,3.576,0.215,3.204,0.467,0.372,0.007,0.064,63.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",61.82,241.0,1010.0,18.69,18.43,0.87,0.2,0.0,8.0,1.86,51.0,0.0,8.074,0.014,0.537,4.285,2.842,8.611,0.563,7.733,0.861,0.747,0.025,0.053,66.0
Beef_Australian_imported_grass-fed_round_bottom_round_steakslashroast_boneless_separable_lean_only_raw,73.31,130.0,544.0,21.4,4.93,1.06,0.0,0.0,4.0,2.11,71.0,0.0,1.959,0.005,0.125,1.113,0.627,2.129,0.186,1.901,0.349,0.178,0.058,0.05,54.0
"Beef_chuck_short_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",63.23,240.0,1005.0,17.22,19.03,0.83,0.0,0.0,11.0,2.3,75.0,0.0,8.141,0.0,0.564,4.388,2.924,9.532,0.588,8.615,0.723,0.635,0.037,0.043,73.0
"Beef_plate_steak_boneless_outside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",63.96,222.0,929.0,18.43,16.31,0.94,0.36,0.0,6.0,3.63,63.0,0.0,6.705,0.009,0.416,3.43,2.557,7.137,0.419,6.422,0.813,0.67,0.026,0.073,70.0
Beef_New_Zealand_imported_brisket_navel_end_separable_lean_only_raw,67.95,194.0,810.0,19.74,12.75,0.84,0.0,0.0,5.0,1.4,66.0,0.0,4.351,0.007,0.312,2.659,1.216,5.484,0.615,4.705,0.385,0.249,0.076,0.015,53.0
Beef_New_Zealand_imported_rump_centre_separable_lean_and_fat_raw,71.87,145.0,607.0,21.65,6.5,0.97,0.0,0.0,4.0,2.29,49.0,0.0,2.2,0.003,0.098,1.173,0.824,2.199,0.152,2.015,0.304,0.147,0.07,0.025,55.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",60.8,255.0,1068.0,18.13,20.31,0.85,0.0,0.0,10.0,1.74,56.0,0.0,9.097,0.016,0.62,4.849,3.174,9.717,0.667,8.691,0.907,0.798,0.029,0.044,69.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",68.6,179.0,747.0,20.1,10.9,0.9,0.0,0.0,7.0,2.74,78.0,0.0,3.93,0.008,0.27,2.309,1.209,5.626,0.373,5.053,0.366,0.319,0.016,0.03,68.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",68.11,182.0,762.0,18.99,11.64,0.9,0.36,0.0,11.0,2.38,76.0,0.0,4.831,0.0,0.319,2.602,1.747,5.643,0.359,5.093,0.579,0.504,0.022,0.052,69.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_only_trimmed_to_0""_fat_select_raw",70.4,153.0,641.0,21.61,7.41,0.97,0.0,0.0,6.0,1.76,66.0,0.0,2.765,0.005,0.188,1.568,0.887,3.212,0.241,2.824,0.38,0.298,0.009,0.045,63.0
Beef_variety_meats_and_by-products_liver_raw,70.81,135.0,564.0,20.36,3.63,1.31,3.89,0.0,5.0,4.9,69.0,1.3,1.233,0.0,0.015,0.312,0.862,0.479,0.036,0.423,0.465,0.299,0.016,0.141,275.0
"Beef_round_top_round_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",68.73,173.0,724.0,22.24,8.67,1.07,0.0,0.0,3.0,2.04,51.0,0.0,3.3,0.01,0.23,1.95,0.99,3.59,0.34,3.16,0.38,0.27,0.05,0.05,59.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",73.09,124.0,519.0,23.27,3.44,1.09,0.0,0.0,13.0,1.45,53.0,0.0,1.276,0.002,0.084,0.734,0.398,1.482,0.116,1.305,0.25,0.178,0.007,0.036,60.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",68.0,176.0,738.0,21.34,10.08,1.01,0.06,0.0,13.0,2.07,61.0,0.0,4.122,0.006,0.284,2.302,1.383,4.683,0.336,4.205,0.563,0.479,0.024,0.044,66.0
