,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU,"Lipids Fatty acids, total saturated g",Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids Cholesterol mg,Amino Acids Tryptophan g,Amino Acids Threonine g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Tyrosine g,Amino Acids Valine g,Amino Acids Arginine g,Amino Acids Histidine g,Amino Acids Alanine g,Amino Acids Aspartic acid g,Amino Acids Glutamic acid g,Amino Acids Glycine g,Amino Acids Proline g,Amino Acids Serine g
Rice_brown_long-grain_raw,11.8,367.0,1534.0,7.54,3.2,1.21,76.25,9.0,1.29,116.0,311.0,250.0,5.0,2.13,0.302,2.853,0.0,0.541,0.095,6.494,1.065,0.477,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.591,0.46,0.056,1.054,0.004,1.039,1.0,0.968,0.032,0.0,0.101,0.291,0.336,0.657,0.303,0.179,0.096,0.41,0.298,0.466,0.602,0.202,0.463,0.743,1.618,0.391,0.372,0.411
Rice_white_medium-grain_raw_enriched,12.89,360.0,1506.0,6.61,0.58,0.58,79.34,9.0,4.36,35.0,108.0,86.0,1.0,1.16,0.11,1.1,0.0,0.578,0.048,5.093,1.342,0.145,231.0,222.0,9.0,386.0,0.0,0.0,0.0,0.158,0.141,0.011,0.181,0.002,0.179,0.155,0.128,0.027,0.0,0.077,0.236,0.285,0.546,0.239,0.155,0.135,0.353,0.221,0.403,0.551,0.155,0.383,0.621,1.288,0.301,0.311,0.347
Rice_brown_medium-grain_raw,12.37,362.0,1515.0,7.5,2.68,1.27,76.17,33.0,1.8,143.0,264.0,268.0,4.0,2.02,0.277,3.743,0.0,0.413,0.043,4.308,1.493,0.509,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.536,0.457,0.048,0.971,0.01,0.961,0.959,0.918,0.041,0.0,0.096,0.275,0.318,0.62,0.286,0.169,0.091,0.387,0.281,0.44,0.569,0.19,0.437,0.702,1.528,0.369,0.352,0.388
Oat_bran_raw,6.55,246.0,1029.0,17.3,7.03,2.89,66.22,58.0,5.41,235.0,734.0,566.0,4.0,3.11,0.403,5.63,0.0,1.17,0.22,0.934,1.494,0.165,52.0,0.0,52.0,52.0,0.0,0.0,0.0,1.328,1.128,0.071,2.376,0.014,2.362,2.766,2.645,0.121,0.0,0.335,0.502,0.668,1.374,0.76,0.335,0.576,0.908,0.668,0.964,1.279,0.41,0.872,1.576,3.748,0.947,0.982,0.89
Wild_rice_raw,7.76,357.0,1494.0,14.73,1.08,1.53,74.9,21.0,1.96,177.0,433.0,427.0,7.0,5.96,0.524,1.329,0.0,0.115,0.262,6.733,1.074,0.391,95.0,0.0,95.0,95.0,0.0,0.0,0.0,0.156,0.145,0.011,0.159,0.0,0.159,0.676,0.377,0.3,0.0,0.179,0.469,0.618,1.018,0.629,0.438,0.174,0.721,0.622,0.858,1.136,0.384,0.825,1.419,2.565,0.672,0.519,0.778
Millet_raw,8.67,378.0,1582.0,11.02,4.22,3.25,72.85,8.0,3.01,114.0,285.0,195.0,5.0,1.68,0.75,1.632,0.0,0.421,0.29,4.72,0.848,0.384,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.723,0.528,0.154,0.773,0.014,0.739,2.134,2.015,0.118,0.0,0.119,0.353,0.465,1.4,0.212,0.221,0.212,0.58,0.34,0.578,0.382,0.236,0.986,0.726,2.396,0.287,0.877,0.644
Rice_white_long-grain_regular_raw_enriched,11.62,365.0,1527.0,7.13,0.66,0.64,79.95,28.0,4.31,25.0,115.0,115.0,5.0,1.09,0.22,1.088,0.0,0.576,0.049,4.192,1.014,0.164,231.0,223.0,8.0,387.0,0.0,0.0,0.0,0.18,0.161,0.012,0.206,0.002,0.203,0.177,0.146,0.031,0.0,0.083,0.255,0.308,0.589,0.258,0.168,0.146,0.381,0.238,0.435,0.594,0.168,0.413,0.67,1.389,0.325,0.335,0.375
Barley_pearled_raw,10.09,352.0,1473.0,9.91,1.16,1.11,77.72,29.0,2.5,79.0,221.0,280.0,9.0,2.13,0.42,1.322,0.0,0.191,0.114,4.604,0.282,0.26,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.244,0.208,0.008,0.149,0.003,0.122,0.56,0.505,0.055,0.0,0.165,0.337,0.362,0.673,0.369,0.19,0.219,0.556,0.284,0.486,0.496,0.223,0.386,0.619,2.588,0.359,1.178,0.418
Rice_white_medium-grain_raw_unenriched,12.89,360.0,1506.0,6.61,0.58,0.58,79.34,9.0,0.8,35.0,108.0,86.0,1.0,1.16,0.11,1.1,0.0,0.07,0.048,1.6,1.342,0.145,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.158,0.141,0.011,0.181,0.002,0.179,0.155,0.128,0.027,0.0,0.077,0.236,0.285,0.546,0.239,0.155,0.135,0.353,0.221,0.403,0.551,0.155,0.383,0.621,1.288,0.301,0.311,0.347
Rice_white_long-grain_regular_raw_unenriched,11.62,365.0,1527.0,7.13,0.66,0.64,79.95,28.0,0.8,25.0,115.0,115.0,5.0,1.09,0.22,1.088,0.0,0.07,0.049,1.6,1.014,0.164,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.18,0.161,0.012,0.206,0.002,0.203,0.177,0.146,0.031,0.0,0.083,0.255,0.308,0.589,0.258,0.168,0.146,0.381,0.238,0.435,0.594,0.168,0.413,0.67,1.389,0.325,0.335,0.375
