,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU","Lipids Fatty acids, total saturated g",Lipids 4:0 g,Lipids 6:0 g,Lipids 8:0 g,Lipids 10:0 g,Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg,Amino Acids Tryptophan g,Amino Acids Threonine g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Tyrosine g,Amino Acids Valine g,Amino Acids Arginine g,Amino Acids Histidine g,Amino Acids Alanine g,Amino Acids Aspartic acid g,Amino Acids Glutamic acid g,Amino Acids Glycine g,Amino Acids Proline g,Amino Acids Serine g
Egg_yolk_raw_fresh,52.31,322.0,1346.0,15.86,26.54,1.71,3.59,0.0,129.0,2.73,5.0,390.0,109.0,48.0,2.3,0.077,0.055,56.0,0.0,0.176,0.528,0.024,2.99,0.35,146.0,0.0,146.0,146.0,1.95,381.0,371.0,1442.0,9.551,0.0,0.0,0.009,0.009,0.009,0.104,6.86,2.417,11.738,0.918,10.701,4.204,3.538,0.103,0.438,1085.0,0.177,0.687,0.866,1.399,1.217,0.378,0.264,0.681,0.678,0.949,1.099,0.416,0.836,1.55,1.97,0.488,0.646,1.326
Egg_whole_raw_fresh,76.15,143.0,599.0,12.56,9.51,1.06,0.72,0.0,56.0,1.75,12.0,198.0,138.0,142.0,1.29,0.072,0.028,30.7,0.0,0.04,0.457,0.075,1.533,0.17,47.0,0.0,47.0,47.0,0.89,160.0,160.0,540.0,3.126,0.004,0.0,0.004,0.006,0.0,0.033,2.231,0.811,3.658,0.201,3.411,1.911,1.555,0.048,0.188,372.0,0.167,0.556,0.671,1.086,0.912,0.38,0.272,0.68,0.499,0.858,0.82,0.309,0.735,1.329,1.673,0.432,0.512,0.971
Egg_yolk_raw_frozen_sugared_pasteurized,51.23,307.0,1283.0,13.87,22.82,1.13,10.95,0.0,124.0,3.7,10.0,404.0,105.0,70.0,3.06,0.012,0.08,53.5,0.0,0.14,0.523,0.037,3.287,0.398,174.0,0.0,174.0,174.0,1.64,316.0,313.0,1103.0,7.11,0.0,0.0,0.0,0.0,0.003,0.104,5.127,1.822,8.885,0.527,8.259,3.856,3.154,0.112,0.4,917.0,0.19,0.627,0.697,1.18,1.033,0.36,0.227,0.607,0.507,0.79,0.917,0.353,0.703,1.337,1.69,0.417,0.547,1.137
Egg_duck_whole_fresh_raw,70.83,185.0,776.0,12.81,13.77,1.14,1.45,0.0,64.0,3.85,17.0,220.0,222.0,146.0,1.41,0.062,0.038,36.4,0.0,0.156,0.404,0.2,1.862,0.25,80.0,0.0,80.0,80.0,5.4,194.0,192.0,674.0,3.681,0.0,0.0,0.0,0.0,0.0,0.054,2.996,0.632,6.525,0.441,6.084,1.223,0.558,0.102,0.319,884.0,0.26,0.736,0.598,1.097,0.951,0.576,0.285,0.84,0.613,0.885,0.765,0.32,0.631,0.777,1.789,0.422,0.48,0.963
Egg_yolk_raw_frozen_pasteurized,56.44,296.0,1238.0,15.53,25.6,1.62,0.81,0.0,134.0,4.55,11.0,420.0,121.0,67.0,3.17,0.0,0.078,56.4,0.0,0.223,0.563,0.031,3.437,0.412,151.0,0.0,151.0,151.0,1.9,419.0,419.0,1469.0,8.615,0.0,0.0,0.0,0.0,0.0,0.083,6.211,2.249,9.956,0.545,9.331,4.827,4.009,0.124,0.49,991.0,0.223,0.706,0.78,1.351,1.182,0.375,0.274,0.689,0.682,0.908,1.091,0.399,0.811,1.503,1.942,0.476,0.615,1.301
Egg_white_raw_frozen_pasteurized,88.17,48.0,202.0,10.2,0.0,0.6,1.04,0.0,8.0,0.04,11.0,13.0,169.0,169.0,0.07,0.032,0.007,9.2,0.0,0.023,0.423,0.093,0.147,0.005,10.0,0.0,10.0,10.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.453,0.559,0.936,0.76,0.396,0.288,0.658,0.446,0.73,0.625,0.263,0.658,1.159,1.48,0.391,0.409,0.797
Egg_quail_whole_fresh_raw,74.35,158.0,663.0,13.05,11.09,1.1,0.41,0.0,64.0,3.65,13.0,226.0,132.0,141.0,1.47,0.062,0.038,32.0,0.0,0.13,0.79,0.15,1.761,0.15,66.0,0.0,66.0,66.0,1.58,156.0,155.0,543.0,3.557,0.0,0.0,0.0,0.0,0.0,0.053,2.666,0.838,4.324,0.473,3.851,1.324,0.94,0.044,0.122,844.0,0.209,0.641,0.816,1.146,0.881,0.421,0.311,0.737,0.543,0.94,0.835,0.315,0.762,1.294,1.662,0.434,0.518,0.992
Egg_yolk_raw_frozen_salted_pasteurized,50.87,275.0,1149.0,14.07,22.93,10.37,1.77,0.0,113.0,3.4,7.0,414.0,111.0,3487.0,2.87,0.121,0.065,56.9,0.0,0.14,0.427,0.027,3.167,0.402,112.0,0.0,112.0,112.0,1.61,313.0,313.0,1043.0,7.159,0.0,0.0,0.0,0.0,0.0,0.073,5.184,1.841,9.07,0.543,8.438,3.733,3.068,0.102,0.397,912.0,0.19,0.62,0.697,1.187,1.033,0.32,0.24,0.61,0.597,0.793,0.947,0.353,0.71,1.333,1.697,0.42,0.55,1.133
Egg_white_raw_fresh,87.57,52.0,216.0,10.9,0.17,0.63,0.73,0.0,7.0,0.08,11.0,15.0,163.0,166.0,0.03,0.023,0.011,20.0,0.0,0.004,0.439,0.105,0.19,0.005,4.0,0.0,4.0,4.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.449,0.661,1.016,0.806,0.399,0.287,0.686,0.457,0.809,0.648,0.29,0.704,1.22,1.55,0.413,0.435,0.798
Egg_goose_whole_fresh_raw,70.43,185.0,775.0,13.87,13.27,1.08,1.35,0.0,60.0,3.64,16.0,208.0,210.0,138.0,1.33,0.062,0.038,36.9,0.0,0.147,0.382,0.189,1.759,0.236,76.0,0.0,76.0,76.0,5.1,187.0,185.0,650.0,3.595,0.0,0.0,0.0,0.0,0.0,0.05,2.849,0.696,5.747,0.394,5.353,1.672,0.68,0.554,0.279,852.0,0.282,0.797,0.647,1.188,1.03,0.624,0.309,0.91,0.664,0.958,0.828,0.346,0.683,0.841,1.937,0.457,0.52,1.043
Egg_whole_raw_frozen_pasteurized,75.81,147.0,616.0,12.33,9.95,0.91,1.01,0.0,62.0,1.74,9.0,193.0,135.0,128.0,1.32,0.053,0.032,37.2,0.0,0.067,0.523,0.103,1.57,0.188,87.0,0.0,87.0,87.0,1.0,171.0,171.0,570.0,3.382,0.0,0.0,0.0,0.0,0.0,0.032,2.435,0.87,3.905,0.213,3.648,1.892,1.564,0.054,0.181,372.0,0.192,0.555,0.661,1.11,0.929,0.4,0.288,0.675,0.535,0.816,0.812,0.322,0.72,1.302,1.649,0.432,0.497,0.983
Egg_turkey_whole_fresh_raw,72.5,171.0,716.0,13.68,11.88,0.79,1.15,0.0,99.0,4.1,13.0,170.0,142.0,151.0,1.58,0.062,0.038,34.3,0.0,0.11,0.47,0.024,1.889,0.131,71.0,0.0,71.0,71.0,1.69,166.0,166.0,554.0,3.632,0.0,0.0,0.0,0.0,0.0,0.036,2.719,0.877,4.571,0.672,3.899,1.658,1.166,0.079,0.127,933.0,0.219,0.672,0.855,1.201,0.924,0.442,0.326,0.773,0.569,0.985,0.876,0.33,0.799,1.357,1.742,0.455,0.543,1.04
Egg_whole_raw_frozen_salted_pasteurized,67.83,138.0,577.0,10.97,10.07,10.3,0.83,0.0,55.0,1.71,9.0,186.0,128.0,3663.0,1.3,0.064,0.033,30.4,0.0,0.06,0.443,0.077,1.26,0.226,69.0,0.0,69.0,69.0,1.21,149.0,149.0,497.0,3.178,0.004,0.0,0.0,0.0,0.0,0.039,2.297,0.82,4.0,0.26,3.697,1.627,1.324,0.044,0.17,387.0,0.226,0.483,0.56,0.94,0.793,0.303,0.24,0.577,0.463,0.673,0.7,0.273,0.607,1.113,1.417,0.363,0.42,0.85
