,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g","Lipids Fatty acids, total polyunsaturated g",Lipids Cholesterol mg
Crustaceans_lobster_northern_raw,80.95,77.0,324.0,16.52,0.75,1.88,0.0,84.0,0.26,38.0,161.0,200.0,423.0,3.53,1.349,0.181,0.22,0.296,127.0
Fish_ling_raw,79.63,87.0,364.0,18.99,0.64,1.4,0.0,34.0,0.65,63.0,198.0,379.0,135.0,0.78,0.11,0.12,0.09,0.22,40.0
Fish_herring_Pacific_raw,71.52,195.0,816.0,16.39,13.88,2.37,0.0,83.0,1.12,32.0,228.0,423.0,74.0,0.53,0.078,3.257,6.872,2.423,77.0
Fish_herring_Atlantic_raw,72.05,158.0,661.0,17.96,9.04,1.46,0.0,57.0,1.1,32.0,236.0,327.0,90.0,0.99,0.092,2.04,3.736,2.133,60.0
Mollusks_squid_mixed_species_raw,78.55,92.0,385.0,15.58,1.38,1.41,3.08,32.0,0.68,33.0,221.0,246.0,44.0,1.53,1.891,0.358,0.107,0.524,233.0
Fish_whiting_mixed_species_raw,80.27,90.0,377.0,18.31,1.31,1.3,0.0,48.0,0.34,21.0,222.0,249.0,72.0,0.88,0.031,0.247,0.279,0.422,67.0
Fish_pike_walleye_raw,79.31,93.0,389.0,19.14,1.22,1.2,0.0,110.0,1.3,30.0,210.0,389.0,51.0,0.62,0.178,0.249,0.294,0.447,86.0
Fish_halibut_Greenland_raw,70.27,186.0,778.0,14.37,13.84,1.0,0.0,3.0,0.66,26.0,164.0,268.0,80.0,0.4,0.03,2.419,8.378,1.367,46.0
Fish_carp_raw,76.31,127.0,531.0,17.83,5.6,1.46,0.0,41.0,1.24,29.0,415.0,333.0,49.0,1.48,0.057,1.083,2.328,1.431,66.0
Fish_mullet_striped_raw,77.01,117.0,490.0,19.35,3.79,1.2,0.0,41.0,1.02,29.0,221.0,357.0,65.0,0.52,0.051,1.116,1.078,0.715,49.0
Fish_rockfish_Pacific_mixed_species_raw,79.08,90.0,378.0,18.36,1.34,1.31,0.0,14.0,0.3,27.0,205.0,386.0,74.0,0.36,0.034,0.347,0.385,0.401,50.0
Fish_wolffish_Atlantic_raw,79.9,96.0,402.0,17.5,2.39,1.16,0.0,6.0,0.09,30.0,200.0,300.0,85.0,0.78,0.029,0.365,0.837,0.845,46.0
Fish_turbot_european_raw,76.95,95.0,397.0,16.05,2.95,2.1,0.0,18.0,0.36,51.0,129.0,238.0,150.0,0.22,0.037,0.75,0.61,0.88,48.0
Fish_salmon_pink_raw,75.52,127.0,532.0,20.5,4.4,1.52,0.0,7.0,0.38,27.0,261.0,366.0,75.0,0.39,0.063,0.81,1.348,0.811,46.0
Fish_seatrout_mixed_species_raw,78.09,104.0,435.0,16.74,3.61,1.26,0.0,17.0,0.27,31.0,250.0,341.0,58.0,0.45,0.03,1.009,0.884,0.725,83.0
Crustaceans_crab_alaska_king_raw,79.57,84.0,351.0,18.29,0.6,1.8,0.0,46.0,0.59,49.0,219.0,204.0,836.0,5.95,0.922,0.09,0.08,0.13,42.0
Fish_scup_raw,75.37,105.0,440.0,18.88,2.73,1.21,0.0,40.0,0.53,23.0,185.0,287.0,42.0,0.48,0.051,0.64,0.56,1.03,52.0
Fish_bass_fresh_water_mixed_species_raw,75.66,114.0,477.0,18.86,3.69,1.52,0.0,80.0,1.49,30.0,200.0,356.0,70.0,0.65,0.093,0.78,1.431,1.062,68.0
Fish_roe_mixed_species_raw,67.73,143.0,599.0,22.32,6.42,1.37,1.5,22.0,0.6,20.0,402.0,221.0,91.0,1.0,0.1,1.456,1.661,2.656,374.0
Crustaceans_shrimp_raw_(not_previously_frozen),78.45,85.0,356.0,20.1,0.51,1.23,0.0,64.0,0.52,35.0,214.0,264.0,119.0,1.34,0.391,0.101,0.086,0.152,161.0
Fish_snapper_mixed_species_raw,76.87,100.0,418.0,20.51,1.34,1.31,0.0,32.0,0.18,32.0,198.0,417.0,64.0,0.36,0.028,0.285,0.251,0.459,37.0
Fish_salmon_coho_wild_raw,72.66,146.0,611.0,21.62,5.93,1.21,0.0,36.0,0.56,31.0,262.0,423.0,46.0,0.41,0.051,1.26,2.134,1.992,45.0
Fish_pike_northern_raw,78.92,88.0,368.0,19.26,0.69,1.2,0.0,57.0,0.55,31.0,220.0,259.0,39.0,0.67,0.051,0.118,0.157,0.202,39.0
Mollusks_abalone_mixed_species_raw,74.56,105.0,439.0,17.1,0.76,1.57,6.01,31.0,3.19,48.0,190.0,250.0,301.0,0.82,0.196,0.149,0.107,0.104,85.0
Fish_salmon_sockeye_raw,72.54,131.0,549.0,22.25,4.69,1.26,0.0,9.0,0.43,30.0,257.0,367.0,78.0,0.46,0.064,0.814,1.371,1.115,51.0
Fish_sea_bass_mixed_species_raw,78.27,97.0,406.0,18.43,2.0,1.09,0.0,10.0,0.29,41.0,194.0,256.0,68.0,0.4,0.019,0.511,0.424,0.743,41.0
Fish_salmon_chinook_raw,71.64,179.0,750.0,19.93,10.43,1.33,0.0,26.0,0.25,95.0,289.0,394.0,47.0,0.44,0.041,3.1,4.399,2.799,50.0
Crustaceans_spiny_lobster_mixed_species_raw,74.07,112.0,469.0,20.6,1.51,1.39,2.43,49.0,1.22,40.0,238.0,180.0,177.0,5.67,0.381,0.237,0.275,0.59,70.0
