,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg"
Java-plum_(jambolan)_raw,83.13,60.0,251.0,0.72,0.23,0.36,15.56,19.0,0.19,17.0
Currants_red_and_white_raw,83.95,56.0,234.0,1.4,0.2,0.66,13.8,33.0,1.0,44.0
Avocados_raw_all_commercial_varieties,73.23,160.0,670.0,2.0,14.66,1.58,8.53,12.0,0.55,52.0
Kiwifruit_green_raw,83.07,61.0,255.0,1.14,0.52,0.61,14.66,34.0,0.31,34.0
Rose-apples_raw,93.0,25.0,105.0,0.6,0.3,0.4,5.7,29.0,0.07,8.0
Roselle_raw,86.58,49.0,205.0,0.96,0.64,0.51,11.31,215.0,1.48,37.0
Cranberries_raw,87.32,46.0,191.0,0.46,0.13,0.12,11.97,8.0,0.23,11.0
Pineapple_raw_traditional_varieties,87.24,45.0,190.0,0.55,0.13,0.27,11.82,13.0,0.25,9.0
Passion-fruit_juice_purple_raw,85.62,51.0,213.0,0.39,0.05,0.34,13.6,4.0,0.24,13.0
Feijoa_raw,83.28,61.0,254.0,0.71,0.42,0.38,15.21,17.0,0.14,19.0
Grapes_red_or_green_(European_type_such_as_Thompson_seedless)_raw,80.54,69.0,288.0,0.72,0.16,0.48,18.1,10.0,0.36,20.0
Apricots_raw,86.35,48.0,201.0,1.4,0.39,0.75,11.12,13.0,0.39,23.0
Soursop_raw,81.16,66.0,276.0,1.0,0.3,0.7,16.84,14.0,0.6,27.0
Grapefruit_raw_pink_and_red_Florida,91.56,30.0,126.0,0.55,0.1,0.29,7.5,15.0,0.12,9.0
Passion-fruit_juice_yellow_raw,84.21,60.0,251.0,0.67,0.18,0.49,14.45,4.0,0.36,25.0
Raspberries_raw,85.75,52.0,220.0,1.2,0.65,0.46,11.94,25.0,0.69,29.0
Pineapple_raw_extra_sweet_variety,85.66,51.0,215.0,0.53,0.11,0.2,13.5,13.0,0.28,8.0
Currants_european_black_raw,81.96,63.0,264.0,1.4,0.41,0.86,15.38,55.0,1.54,59.0
Orange_juice_raw,88.3,45.0,188.0,0.7,0.2,0.4,10.4,11.0,0.2,17.0
Tangerine_juice_raw,88.9,43.0,180.0,0.5,0.2,0.3,10.1,18.0,0.2,14.0
Mammy-apple_(mamey)_raw,86.2,51.0,213.0,0.5,0.5,0.3,12.5,11.0,0.7,11.0
Custard-apple_(bullock's-heart)_raw,71.5,101.0,423.0,1.7,0.6,1.0,25.2,30.0,0.71,21.0
Persimmons_native_raw,64.4,127.0,531.0,0.8,0.4,0.9,33.5,27.0,2.5,26.0
Apples_raw_without_skin_cooked_microwave,84.63,56.0,234.0,0.28,0.42,0.26,14.41,5.0,0.17,8.0
Strawberries_raw,90.95,32.0,136.0,0.67,0.3,0.4,7.68,16.0,0.41,24.0
Pummelo_raw,89.1,38.0,159.0,0.76,0.04,0.48,9.62,4.0,0.11,17.0
Elderberries_raw,79.8,73.0,305.0,0.66,0.5,0.64,18.4,38.0,1.6,39.0
Pears_raw_green_anjou,83.31,66.0,275.0,0.44,0.1,0.37,15.79,11.0,0.24,13.0
Breadfruit_raw,70.65,103.0,431.0,1.07,0.23,0.93,27.12,17.0,0.54,30.0
Rowal_raw,71.4,111.0,462.0,2.3,2.0,0.4,23.9,15.0,2.2,52.0
Grapefruit_raw_pink_and_red_all_areas,88.06,42.0,176.0,0.77,0.14,0.36,10.66,22.0,0.08,18.0
Grapefruit_juice_pink_raw,90.0,39.0,163.0,0.5,0.1,0.2,9.2,9.0,0.2,15.0
Apples_raw_fuji_with_skin,84.16,63.0,265.0,0.2,0.18,0.24,15.22,7.0,0.1,13.0
Pears_asian_raw,88.25,42.0,176.0,0.5,0.23,0.37,10.65,4.0,0.0,11.0
Grapefruit_raw_white_Florida,90.76,32.0,134.0,0.63,0.1,0.32,8.19,15.0,0.05,7.0
Prickly_pears_raw,87.55,41.0,172.0,0.73,0.51,1.64,9.57,56.0,0.3,24.0
Apples_raw_gala_with_skin,85.76,57.0,237.0,0.25,0.12,0.2,13.68,7.0,0.12,11.0
Oranges_raw_with_peel,82.3,63.0,262.0,1.3,0.3,0.6,15.5,70.0,0.8,22.0
Sapodilla_raw,78.0,83.0,347.0,0.44,1.1,0.5,19.96,21.0,0.8,12.0
Watermelon_raw,91.45,30.0,127.0,0.61,0.15,0.25,7.55,7.0,0.24,11.0
Apples_raw_granny_smith_with_skin,85.46,58.0,242.0,0.44,0.19,0.29,13.61,5.0,0.15,12.0
Pears_raw_bosc,83.18,67.0,279.0,0.36,0.09,0.28,16.1,10.0,0.15,14.0
Grapefruit_raw_pink_and_red_California_and_Arizona,89.31,37.0,155.0,0.5,0.1,0.4,9.69,11.0,0.08,12.0
Rhubarb_raw,93.61,21.0,88.0,0.9,0.2,0.76,4.54,86.0,0.22,14.0
Jujube_raw,77.86,79.0,331.0,1.2,0.2,0.51,20.23,21.0,0.48,23.0
Grapefruit_raw_white_all_areas,90.48,33.0,138.0,0.69,0.1,0.33,8.41,12.0,0.06,8.0
Peaches_yellow_raw,88.87,39.0,165.0,0.91,0.25,0.43,9.54,6.0,0.25,20.0
Oheloberries_raw,92.3,28.0,117.0,0.38,0.22,0.26,6.84,7.0,0.09,10.0
