,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg"
"Lamb_domestic_shoulder_blade_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",63.39,244.0,1021.0,17.01,18.97,0.91,0.0,17.0
Lamb_Australian_imported_fresh_seam_fat_raw,40.32,459.0,1919.0,15.65,44.01,0.66,0.0,6.0
Lamb_New_Zealand_imported_loin_boneless_separable_lean_only_raw,74.54,120.0,502.0,21.5,3.77,1.17,0.0,4.0
Veal_loin_separable_lean_and_fat_raw,69.44,177.0,740.0,20.07,10.07,0.96,0.07,14.0
"Lamb_domestic_rib_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",50.8,372.0,1556.0,14.52,34.39,0.74,0.0,15.0
Veal_leg_top_round_cap_off_cutlet_boneless_raw,75.2,107.0,447.0,22.07,2.07,1.09,0.0,4.0
Lamb_New_Zealand_imported_rack_-_partly_frenched_separable_lean_only_raw,70.24,160.0,670.0,20.65,8.61,0.94,0.0,12.0
Lamb_New_Zealand_imported_liver_raw,70.8,136.0,569.0,20.7,4.92,1.36,2.22,4.0
Game_meat_horse_raw,72.63,133.0,556.0,21.39,4.6,0.99,0.0,6.0
Veal_composite_of_trimmed_retail_cuts_separable_lean_and_fat_raw,72.84,144.0,602.0,19.35,6.77,1.04,0.0,15.0
Lamb_New_Zealand_imported_square-cut_shoulder_separable_lean_and_fat_raw,61.07,272.0,1136.0,16.16,22.89,0.8,0.24,10.0
Game_meat_beaver_raw,70.97,146.0,611.0,24.05,4.8,1.0,0.0,15.0
"Lamb_domestic_loin_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",56.55,310.0,1297.0,16.32,26.63,0.84,0.0,15.0
Veal_Australian_shank_fore_bone-in_separable_lean_only_raw,74.7,123.0,513.0,20.18,4.65,1.03,0.0,16.0
Game_meat_elk_ground_raw,68.84,172.0,722.0,21.76,8.82,1.04,0.0,12.0
Lamb_New_Zealand_imported_fore-shank_separable_lean_only_raw,74.49,122.0,511.0,22.05,3.77,1.02,0.0,7.0
"Lamb_domestic_composite_of_trimmed_retail_cuts_separable_fat_trimmed_to_1_slash_4""_fat_choice_raw",22.54,665.0,2782.0,6.65,70.61,0.36,0.0,19.0
Lamb_New_Zealand_imported_subcutaneous_fat_raw,19.17,703.0,2942.0,3.87,76.16,0.25,0.55,3.0
Veal_composite_of_trimmed_retail_cuts_separable_fat_raw,24.77,638.0,2669.0,6.02,67.83,0.43,0.0,7.0
"Lamb_Australian_imported_fresh_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.22,142.0,594.0,20.25,6.18,0.99,0.0,12.0
"Lamb_Australian_imported_fresh_leg_sirloin_chops_boneless_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",74.13,132.0,552.0,20.43,4.91,0.95,0.0,9.0
"Game_meat_bison_top_round_separable_lean_only_1""_steak_raw",73.95,122.0,508.0,23.32,2.43,1.18,0.0,5.0
"Lamb_Australian_imported_fresh_leg_hindshank_heel_on_bone-in_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",74.83,122.0,509.0,22.49,3.53,0.96,0.0,4.0
"Lamb_Australian_imported_fresh_tenderloin_boneless_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",71.83,143.0,597.0,23.23,5.52,1.08,0.0,2.0
Veal_ground_raw,66.16,197.0,825.0,18.58,13.06,0.93,0.0,12.0
"Lamb_domestic_shoulder_blade_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",61.9,259.0,1084.0,16.63,20.86,0.89,0.0,17.0
"Lamb_domestic_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",60.7,267.0,1117.0,16.88,21.59,0.88,0.0,12.0
Lamb_New_Zealand_imported_hind-shank_separable_lean_and_fat_raw,67.84,186.0,776.0,18.39,12.12,0.93,0.73,5.0
"Lamb_domestic_shoulder_blade_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",72.36,151.0,632.0,19.29,7.63,1.03,0.0,16.0
Lamb_New_Zealand_imported_flap_boneless_separable_lean_and_fat_raw,54.39,337.0,1410.0,16.17,30.14,0.74,0.27,6.0
"Lamb_Australian_imported_fresh_leg_hindshank_heel_on_bone-in_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",67.33,196.0,822.0,20.58,12.68,0.88,0.0,5.0
Veal_Australian_rib_rib_roast_separable_lean_and_fat_raw,65.35,201.0,841.0,19.6,13.1,0.92,1.15,9.0
Veal_shank_separable_lean_and_fat_raw,75.85,107.0,447.0,19.28,3.3,0.96,0.0,12.0
Lamb_New_Zealand_imported_tunnel-boned_leg_chump_off_shank_off_separable_lean_only_raw,74.43,121.0,504.0,20.93,4.09,1.14,0.0,4.0
Game_meat_bison_separable_lean_only_raw,74.57,109.0,456.0,21.62,1.84,1.2,0.0,6.0
Veal_Australian_shank_hind_bone-in_separable_lean_only_raw,75.38,122.0,509.0,20.37,4.47,1.01,0.0,17.0
Lamb_ground_raw,59.47,282.0,1180.0,16.56,23.41,0.87,0.0,16.0
Lamb_New_Zealand_imported_flap_boneless_separable_lean_only_raw,69.49,180.0,752.0,21.72,10.31,0.98,0.0,7.0
Lamb_New_Zealand_imported_sweetbread_raw,85.78,72.0,303.0,11.0,3.16,1.35,0.0,2.0
"Lamb_domestic_leg_whole_(shank_and_sirloin)_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",64.32,230.0,962.0,17.91,17.07,0.94,0.0,9.0
Game_meat_beefalo_composite_of_cuts_raw,70.89,143.0,598.0,23.3,4.8,0.92,0.0,18.0
Veal_shank_(fore_and_hind)_separable_lean_only_raw,77.45,108.0,452.0,19.28,2.83,1.05,0.0,20.0
Game_meat_bear_raw,71.2,161.0,674.0,20.1,8.3,0.7,0.0,3.0
Veal_external_fat_only_raw,38.19,503.0,2106.0,8.85,51.6,0.47,0.89,31.0
Lamb_New_Zealand_imported_testes_raw,85.01,68.0,283.0,11.4,2.38,1.08,0.14,5.0
Lamb_variety_meats_and_by-products_liver_raw,71.37,139.0,582.0,20.38,5.02,1.44,1.78,7.0
Lamb_New_Zealand_imported_ground_lamb_raw,69.29,193.0,807.0,20.33,12.41,0.86,0.0,4.0
"Lamb_New_Zealand_imported_frozen_leg_whole_(shank_and_sirloin)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",67.05,201.0,841.0,18.76,13.37,1.03,0.0,7.0
"Lamb_Australian_imported_fresh_leg_shank_half_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",74.08,133.0,556.0,20.45,5.1,1.08,0.0,7.0
"Lamb_New_Zealand_imported_frozen_foreshank_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",66.02,223.0,933.0,18.04,16.15,1.06,0.0,10.0
"Lamb_domestic_loin_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",59.55,279.0,1167.0,17.18,22.75,0.88,0.0,14.0
"Lamb_domestic_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",63.17,243.0,1017.0,17.54,18.66,0.92,0.0,12.0
"Lamb_New_Zealand_imported_frozen_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",64.03,232.0,971.0,17.95,17.2,0.98,0.0,11.0
"Lamb_domestic_leg_sirloin_half_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",73.57,134.0,561.0,20.55,5.08,1.07,0.0,7.0
Veal_shank_(fore_and_hind)_separable_lean_and_fat_raw,76.92,113.0,473.0,19.15,3.48,1.04,0.0,20.0
Lamb_New_Zealand_imported_netted_shoulder_rolled_boneless_separable_lean_only_raw,72.9,143.0,597.0,20.2,6.88,0.98,0.0,5.0
Lamb_Australian_imported_fresh_external_fat_raw,38.41,487.0,2037.0,12.59,48.5,0.56,0.0,10.0
"Lamb_new_zealand_imported_frozen_rib_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",56.61,311.0,1301.0,15.87,27.0,0.85,0.0,15.0
Lamb_New_Zealand_imported_frozen_composite_of_trimmed_retail_cuts_separable_lean_only_raw,73.78,128.0,536.0,20.75,4.41,1.12,0.0,8.0
Veal_shoulder_arm_separable_lean_and_fat_raw,74.05,132.0,552.0,19.34,5.44,1.08,0.0,21.0
"Lamb_domestic_shoulder_whole_(arm_and_blade)_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",61.39,264.0,1105.0,16.58,21.45,0.89,0.0,16.0
"Lamb_Australian_imported_fresh_leg_trotter_off_bone-in_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.02,131.0,550.0,23.11,4.33,1.01,0.0,3.0
Lamb_New_Zealand_imported_frozen_composite_of_trimmed_retail_cuts_separable_fat_raw,25.56,640.0,2678.0,6.92,67.63,0.42,0.0,23.0
"Lamb_domestic_rib_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",70.44,169.0,707.0,19.98,9.23,1.01,0.0,12.0
Lamb_Australian_ground__85%_lean__slash__15%_fat_raw,61.46,255.0,1067.0,17.14,20.71,0.82,0.0,9.0
Veal_shoulder_blade_chop_separable_lean_only_raw,76.29,110.0,459.0,19.6,2.88,1.01,0.0,23.0
"Lamb_Australian_imported_fresh_leg_whole_(shank_and_sirloin)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",66.33,215.0,900.0,18.24,15.19,0.95,0.0,10.0
