,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, IU IU",Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU,"Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g",Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,"Lipids Fatty acids, total trans g",Amino Acids Tryptophan g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Valine g,Amino Acids Histidine g
Beans_white_mature_seeds_raw,11.32,333.0,1393.0,23.36,0.85,4.2,60.27,240.0,10.44,190.0,301.0,1795.0,16.0,3.67,0.984,1.796,12.8,0.437,0.146,0.479,0.732,0.318,388.0,0.0,388.0,388.0,0.0,0.0,0.0,0.0,0.219,0.074,0.074,0.364,0.198,0.0,0.277,1.031,1.865,1.603,0.351,0.254,1.263,1.222,0.65
Mothbeans_mature_seeds_raw,9.68,343.0,1435.0,22.94,1.61,4.26,61.52,150.0,10.85,381.0,489.0,1191.0,30.0,1.92,0.688,1.82,8.2,0.562,0.091,2.8,1.535,0.366,649.0,0.0,649.0,649.0,0.0,32.0,0.0,0.0,0.364,0.129,0.129,0.75,0.485,0.0,0.147,1.138,1.541,1.248,0.22,0.117,1.028,0.734,0.771
Beans_kidney_red_mature_seeds_raw,11.75,337.0,1408.0,22.53,1.06,3.37,61.29,83.0,6.69,138.0,406.0,1359.0,12.0,2.79,0.699,1.111,3.2,0.608,0.215,2.11,0.78,0.397,394.0,0.0,394.0,394.0,0.0,0.0,0.0,0.0,0.154,0.082,0.082,0.586,0.228,0.0,0.267,0.995,1.799,1.547,0.339,0.245,1.218,1.179,0.627
Beans_french_mature_seeds_raw,10.77,343.0,1435.0,18.81,2.02,4.3,64.11,186.0,3.4,188.0,304.0,1316.0,18.0,1.9,0.44,1.2,12.9,0.535,0.221,2.083,0.789,0.401,399.0,0.0,399.0,399.0,0.0,8.0,0.0,0.0,0.221,0.138,0.135,1.207,0.442,0.0,0.223,0.831,1.502,1.291,0.283,0.205,1.017,0.984,0.524
Peanuts_spanish_raw,6.39,570.0,2386.0,26.15,49.6,2.03,15.83,106.0,3.91,188.0,388.0,744.0,22.0,2.12,0.9,2.64,7.2,0.675,0.135,15.925,1.769,0.348,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,7.098,22.325,21.757,17.238,17.192,0.0,0.254,0.92,1.696,0.939,0.321,0.335,1.356,1.097,0.661
Beans_black_turtle_mature_seeds_raw,11.0,339.0,1418.0,21.25,0.9,3.6,63.25,160.0,8.7,160.0,440.0,1500.0,9.0,2.2,1.0,1.0,3.2,0.9,0.193,1.955,0.899,0.286,444.0,0.0,444.0,444.0,0.0,17.0,0.0,0.0,0.232,0.078,0.078,0.387,0.211,0.0,0.252,0.938,1.697,1.459,0.32,0.231,1.149,1.112,0.592
Lima_beans_thin_seeded_(baby)_mature_seeds_raw,12.07,335.0,1402.0,20.62,0.93,3.55,62.83,81.0,6.19,188.0,370.0,1403.0,13.0,2.6,0.665,1.686,7.0,0.574,0.218,1.712,1.265,0.327,400.0,0.0,400.0,400.0,0.0,0.0,0.0,0.0,0.219,0.084,0.071,0.42,0.292,0.0,0.244,1.085,1.778,1.382,0.261,0.228,1.188,1.24,0.63
Pigeon_peas_(red_gram)_mature_seeds_raw,10.59,343.0,1435.0,21.7,1.49,3.45,62.78,130.0,5.23,183.0,367.0,1392.0,17.0,2.76,1.057,1.791,8.2,0.643,0.187,2.965,1.266,0.283,456.0,0.0,456.0,456.0,0.0,28.0,0.0,0.0,0.33,0.012,0.012,0.814,0.778,0.0,0.212,0.785,1.549,1.521,0.243,0.25,1.858,0.937,0.774
Broadbeans_(fava_beans)_mature_seeds_raw,10.98,341.0,1425.0,26.12,1.53,3.08,58.29,103.0,6.7,192.0,421.0,1062.0,13.0,3.14,0.824,1.626,8.2,0.555,0.333,2.832,0.976,0.366,423.0,0.0,423.0,423.0,0.0,53.0,0.0,0.0,0.254,0.303,0.297,0.627,0.581,0.0,0.247,1.053,1.964,1.671,0.213,0.334,1.103,1.161,0.664
Soy_flour_full-fat_raw,5.16,434.0,1816.0,37.81,20.65,4.46,31.92,206.0,6.37,429.0,494.0,2515.0,13.0,3.92,2.92,2.275,7.5,0.581,1.16,4.32,1.59,0.461,345.0,0.0,345.0,345.0,0.0,120.0,0.0,0.0,2.987,4.561,4.504,11.657,10.28,0.0,0.502,1.675,2.812,2.298,0.466,0.556,1.802,1.724,0.931
Cowpeas_common_(blackeyes_crowder_southern)_mature_seeds_raw,11.95,336.0,1406.0,23.52,1.26,3.24,60.03,110.0,8.27,184.0,424.0,1112.0,16.0,3.37,0.845,1.528,9.0,0.853,0.226,2.075,1.496,0.357,633.0,0.0,633.0,633.0,0.0,50.0,0.0,0.0,0.331,0.106,0.088,0.542,0.343,0.0,0.29,0.956,1.802,1.591,0.335,0.26,1.373,1.121,0.73
Mung_beans_mature_seeds_raw,9.05,347.0,1452.0,23.86,1.15,3.32,62.62,132.0,6.74,189.0,367.0,1246.0,15.0,2.68,0.941,1.035,8.2,0.621,0.233,2.251,1.91,0.382,625.0,0.0,625.0,625.0,0.0,114.0,0.0,0.0,0.348,0.161,0.161,0.384,0.357,0.0,0.26,1.008,1.847,1.664,0.286,0.21,1.443,1.237,0.695
