,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU","Lipids Fatty acids, total saturated g",Lipids 16:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids Cholesterol mg,Amino Acids Tryptophan g,Amino Acids Threonine g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Tyrosine g,Amino Acids Valine g,Amino Acids Arginine g,Amino Acids Histidine g,Amino Acids Alanine g,Amino Acids Aspartic acid g,Amino Acids Glutamic acid g,Amino Acids Glycine g,Amino Acids Proline g,Amino Acids Serine g
Nuts_coconut_cream_raw_(liquid_expressed_from_grated_meat),53.9,330.0,1381.0,3.63,34.68,1.15,6.65,11.0,2.28,28.0,122.0,325.0,4.0,0.96,0.378,1.304,2.8,0.03,0.0,0.89,0.261,0.047,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,30.753,2.94,1.475,1.475,0.379,0.379,0.0,0.042,0.132,0.142,0.269,0.16,0.068,0.072,0.184,0.112,0.22,0.595,0.083,0.185,0.354,0.829,0.172,0.15,0.187
Seeds_breadnut_tree_seeds_raw,45.0,217.0,908.0,5.97,0.99,1.76,46.28,98.0,2.09,68.0,67.0,1183.0,31.0,1.13,1.444,0.178,27.4,0.055,0.055,0.88,1.103,0.403,66.0,0.0,66.0,66.0,0.0,12.0,0.0,248.0,0.267,0.177,0.126,0.121,0.527,0.406,0.0,0.162,0.232,0.338,0.647,0.26,0.035,0.093,0.282,0.439,0.578,0.549,0.091,0.271,0.659,0.835,0.375,0.297,0.4
Nuts_pistachio_nuts_raw,4.37,560.0,2342.0,20.16,45.32,2.99,27.17,105.0,3.92,121.0,490.0,1025.0,1.0,2.2,1.3,1.2,5.6,0.87,0.16,1.3,0.52,1.7,51.0,0.0,51.0,51.0,0.0,26.0,0.0,516.0,5.907,5.265,23.257,22.674,14.38,14.091,0.0,0.251,0.684,0.917,1.604,1.138,0.36,0.292,1.092,0.509,1.249,2.134,0.512,0.973,1.884,4.3,1.009,0.938,1.283
Nuts_macadamia_nuts_raw,1.36,718.0,3004.0,7.91,75.77,1.14,13.82,85.0,3.69,130.0,188.0,368.0,5.0,1.3,0.756,4.131,1.2,1.195,0.162,2.473,0.758,0.275,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,12.061,6.036,58.877,43.755,1.502,1.296,0.0,0.067,0.37,0.314,0.602,0.018,0.023,0.006,0.665,0.511,0.363,1.402,0.195,0.388,1.099,2.267,0.454,0.468,0.419
Nuts_chestnuts_japanese_raw,61.41,154.0,644.0,2.25,0.53,0.91,34.91,31.0,1.45,49.0,72.0,329.0,14.0,1.1,0.562,1.591,26.3,0.344,0.163,1.5,0.206,0.283,47.0,0.0,47.0,47.0,0.0,2.0,0.0,37.0,0.078,0.072,0.278,0.268,0.138,0.123,0.0,0.032,0.09,0.111,0.139,0.147,0.054,0.065,0.088,0.064,0.134,0.148,0.056,0.203,0.474,0.429,0.114,0.141,0.11
Seeds_sesame_butter_tahini_from_raw_and_stone_ground_kernels,3.0,570.0,2385.0,17.81,48.0,5.0,26.19,420.0,2.51,96.0,752.0,414.0,74.0,4.64,1.618,1.457,0.0,1.283,0.51,5.925,0.694,0.149,98.0,0.0,98.0,98.0,0.0,3.0,0.0,67.0,6.722,4.292,18.127,17.897,21.039,20.654,0.0,0.39,0.739,0.766,1.364,0.571,0.588,0.36,0.944,0.746,0.995,2.641,0.524,0.931,1.653,3.972,1.22,0.813,0.971
Nuts_chestnuts_chinese_raw,43.95,224.0,937.0,4.2,1.11,1.67,49.07,18.0,1.41,84.0,96.0,447.0,3.0,0.87,0.363,1.601,36.0,0.16,0.18,0.8,0.555,0.41,68.0,0.0,68.0,68.0,0.0,10.0,0.0,202.0,0.164,0.151,0.581,0.559,0.288,0.258,0.0,0.049,0.167,0.157,0.259,0.228,0.101,0.11,0.19,0.125,0.22,0.43,0.121,0.2,0.852,0.537,0.184,0.162,0.184
Nuts_coconut_meat_raw,46.99,354.0,1481.0,3.33,33.49,0.97,15.23,14.0,2.43,32.0,113.0,356.0,20.0,1.1,0.435,1.5,3.3,0.066,0.02,0.54,0.3,0.054,26.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,29.698,2.839,1.425,1.425,0.366,0.366,0.0,0.039,0.121,0.131,0.247,0.147,0.062,0.066,0.169,0.103,0.202,0.546,0.077,0.17,0.325,0.761,0.158,0.138,0.172
Nuts_cashew_nuts_raw,5.2,553.0,2314.0,18.22,43.85,2.54,30.19,37.0,6.68,292.0,593.0,660.0,12.0,5.78,2.195,1.655,0.5,0.423,0.058,1.062,0.864,0.417,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,7.783,3.916,23.797,23.523,7.845,7.782,0.0,0.287,0.688,0.789,1.472,0.928,0.362,0.393,0.951,0.508,1.094,2.123,0.456,0.837,1.795,4.506,0.937,0.812,1.079
Nuts_acorns_raw,27.9,387.0,1619.0,6.15,23.86,1.35,40.75,41.0,0.79,62.0,79.0,539.0,0.0,0.51,0.621,1.337,0.0,0.112,0.118,1.827,0.715,0.528,87.0,0.0,87.0,87.0,0.0,2.0,0.0,39.0,3.102,2.85,15.109,15.109,4.596,4.596,0.0,0.074,0.236,0.285,0.489,0.384,0.103,0.109,0.269,0.187,0.345,0.473,0.17,0.35,0.635,0.986,0.285,0.246,0.261
