,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Pork_Shoulder_petite_tender_boneless_separable_lean_and_fat_raw,74.57,128.0,535.0,21.65,3.91,1.08,0.0,0.0,6.0,1.07,24.0,229.0,391.0,50.0,2.16,0.09,0.011,21.5,0.0,0.831,0.6,5.312,0.982,0.65,2.0,0.0,2.0,2.0,0.59,0.0,0.0,0.0,0.033,0.637,0.332,1.324,0.086,1.222,0.469,0.393,0.011,0.053,66.0
Pork_fresh_ground_raw,61.06,263.0,1100.0,16.88,21.19,0.87,0.0,0.0,14.0,0.88,19.0,175.0,287.0,56.0,2.2,0.045,0.01,24.6,0.7,0.732,0.235,4.338,0.668,0.383,5.0,0.0,5.0,5.0,0.7,2.0,2.0,7.0,0.33,4.77,2.55,9.44,0.65,8.5,1.91,1.67,0.07,0.08,72.0
Pork_fresh_belly_raw,36.74,518.0,2167.0,9.34,53.01,0.49,0.0,0.0,5.0,0.52,4.0,108.0,185.0,32.0,1.02,0.052,0.006,8.0,0.3,0.396,0.242,4.647,0.256,0.13,1.0,0.0,1.0,1.0,0.84,3.0,3.0,10.0,0.7,11.92,6.49,24.7,1.5,22.77,5.65,5.03,0.48,0.14,72.0
Pork_Shoulder_breast_boneless_separable_lean_and_fat_raw,74.37,127.0,531.0,22.54,3.4,1.07,0.0,0.0,7.0,0.89,26.0,229.0,378.0,54.0,1.95,0.076,0.014,25.8,0.0,0.645,0.465,9.602,0.982,0.722,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.037,0.68,0.348,1.473,0.096,1.359,0.488,0.406,0.012,0.057,60.0
USDA_Commodity_pork_ground_fine_slash_coarse_frozen_raw,64.46,221.0,925.0,15.41,17.18,0.79,0.0,0.0,14.0,0.91,20.0,181.0,297.0,58.0,2.28,0.047,0.01,24.6,0.6,0.668,0.214,3.959,0.61,0.35,5.0,0.0,5.0,5.0,0.64,2.0,2.0,6.0,0.267,3.866,2.067,7.651,0.527,6.889,1.548,1.354,0.057,0.065,58.0
Pork_fresh_spareribs_separable_lean_and_fat_raw,59.75,277.0,1159.0,15.47,23.4,0.67,0.0,0.0,15.0,0.91,16.0,141.0,242.0,81.0,2.5,0.08,0.01,22.0,0.0,0.319,0.251,4.662,0.625,0.574,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.236,4.661,2.596,8.542,0.53,7.889,3.953,3.23,0.081,0.563,80.0
Pork_fresh_composite_of_trimmed_retail_cuts_(leg_loin_shoulder)_separable_lean_only_raw,73.17,134.0,562.0,21.2,4.86,1.0,0.0,0.0,13.0,0.82,24.0,216.0,363.0,59.0,2.21,0.075,0.011,33.5,0.2,0.642,0.254,5.573,0.936,0.644,2.0,0.0,2.0,2.0,0.64,1.0,1.0,2.0,0.058,1.027,0.525,2.063,0.127,1.904,0.519,0.44,0.02,0.049,64.0
Pork_fresh_loin_tenderloin_separable_lean_and_fat_raw,74.97,120.0,502.0,20.65,3.53,1.01,0.0,0.0,6.0,0.97,27.0,243.0,393.0,52.0,1.87,0.089,0.014,30.3,0.0,0.982,0.337,6.61,0.837,0.765,0.0,0.0,0.0,0.0,0.52,0.0,0.0,2.0,0.039,0.725,0.404,1.355,0.075,1.259,0.562,0.476,0.016,0.054,65.0
Pork_fresh_loin_top_loin_(roasts)_boneless_separable_lean_and_fat_raw,70.14,166.0,696.0,21.34,8.33,0.97,0.0,0.0,7.0,0.53,24.0,216.0,358.0,47.0,1.73,0.056,0.007,26.5,0.0,0.426,0.181,5.566,0.722,0.718,0.0,0.0,0.0,0.0,0.54,2.0,2.0,5.0,0.098,1.701,0.919,1.861,0.173,3.126,0.651,0.913,0.041,0.042,64.0
Pork_fresh_loin_center_loin_(chops)_bone-in_separable_lean_only_raw,73.62,127.0,533.0,21.99,3.71,1.01,0.0,0.0,18.0,0.65,26.0,220.0,362.0,58.0,1.86,0.066,0.008,36.0,0.0,0.51,0.198,6.934,0.732,0.742,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.688,0.355,1.346,0.059,1.265,0.415,0.353,0.014,0.037,69.0
