,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin B-6 mg,Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids Cholesterol mg
Turkey_skin_from_whole_(light_and_dark)_raw,48.38,407.0,1704.0,12.96,38.93,0.52,0.16,0.0,13.0,0.85,11.0,120.0,124.0,62.0,1.1,0.053,0.012,0.0,0.021,0.11,3.905,0.166,0.88,85.0,85.0,284.0,122.0
Chicken_broilers_or_fryers_back_meat_and_skin_raw,58.1,319.0,1335.0,14.05,28.74,0.64,0.0,0.0,13.0,0.94,15.0,113.0,144.0,64.0,1.26,0.047,0.018,1.6,0.051,0.116,4.835,0.19,0.25,75.0,75.0,251.0,79.0
Turkey_back_from_whole_bird_meat_only_raw,76.01,113.0,475.0,21.28,2.5,1.03,0.15,0.0,11.0,1.04,25.0,176.0,226.0,124.0,2.59,0.092,0.014,0.0,0.062,0.255,5.696,0.44,2.05,13.0,13.0,43.0,79.0
Turkey_thigh_from_whole_bird_meat_only_raw,76.01,108.0,451.0,21.28,2.5,1.03,0.15,0.0,11.0,1.04,25.0,176.0,226.0,124.0,2.59,0.092,0.014,0.0,0.062,0.255,5.696,0.44,2.05,13.0,13.0,43.0,79.0
Turkey_retail_parts_breast_meat_and_skin_raw,70.98,155.0,647.0,21.88,7.45,0.98,0.0,0.0,9.0,0.77,24.0,176.0,247.0,72.0,1.15,0.054,0.006,0.0,0.048,0.157,9.4,0.724,1.28,16.0,16.0,54.0,63.0
Chicken_broilers_or_fryers_dark_meat_meat_and_skin_raw,65.42,237.0,992.0,16.69,18.34,0.76,0.0,0.0,11.0,0.98,19.0,136.0,178.0,73.0,1.58,0.054,0.019,0.0,0.061,0.146,5.211,0.25,0.29,49.0,49.0,170.0,81.0
Turkey_retail_parts_breast_meat_only_raw,74.66,114.0,478.0,23.34,2.33,1.06,0.0,0.0,9.0,0.76,27.0,185.0,267.0,74.0,1.16,0.054,0.006,0.0,0.052,0.165,10.295,0.814,1.35,5.0,5.0,16.0,53.0
Chicken_capons_meat_and_skin_raw,63.24,234.0,979.0,18.77,17.07,0.96,0.0,0.0,11.0,1.09,21.0,183.0,217.0,45.0,1.17,0.05,0.02,1.7,0.064,0.127,7.273,0.36,0.34,37.0,37.0,129.0,75.0
Chicken_heart_all_classes_raw,73.56,153.0,640.0,15.55,9.33,0.85,0.71,0.0,12.0,5.96,15.0,177.0,176.0,74.0,6.59,0.346,0.089,3.2,0.152,0.728,4.883,0.36,7.29,9.0,9.0,30.0,136.0
Turkey_heart_all_classes_raw,74.47,140.0,586.0,16.7,7.44,0.99,0.4,0.0,18.0,3.7,21.0,183.0,179.0,129.0,3.21,0.488,0.102,3.0,0.165,1.13,6.44,0.479,13.3,82.0,80.0,305.0,225.0
Chicken_stewing_dark_meat_meat_only_raw,71.94,157.0,657.0,19.7,8.12,1.41,0.0,0.0,10.0,1.22,23.0,190.0,242.0,101.0,2.08,0.107,0.021,4.6,0.163,0.279,5.405,0.34,0.37,41.0,41.0,135.0,77.0
Turkey_whole_giblets_raw,76.03,124.0,518.0,18.18,5.09,1.13,0.07,0.0,18.0,5.92,22.0,223.0,198.0,136.0,3.23,0.577,0.19,0.0,0.149,1.393,8.694,0.654,13.06,3939.0,3939.0,13129.0,333.0
Turkey_drumstick_from_whole_bird_meat_only_with_added_solution_raw,75.86,115.0,480.0,19.27,4.12,1.19,0.15,0.0,15.0,0.9,21.0,191.0,226.0,167.0,2.68,0.106,0.01,0.0,0.06,0.247,5.745,0.425,2.05,13.0,13.0,43.0,79.0
Turkey_retail_parts_thigh_meat_only_raw,75.62,116.0,484.0,20.6,3.69,1.03,0.0,0.0,4.0,1.42,22.0,177.0,269.0,75.0,2.95,0.083,0.006,0.0,0.059,0.307,6.183,0.482,2.17,19.0,19.0,63.0,78.0
Chicken_cornish_game_hens_meat_and_skin_raw,68.18,200.0,837.0,17.15,14.02,0.8,0.0,0.0,11.0,0.78,18.0,140.0,236.0,61.0,1.15,0.049,0.016,0.5,0.073,0.17,5.675,0.295,0.33,32.0,32.0,108.0,101.0
Chicken_roasting_light_meat_meat_only_raw,74.3,109.0,456.0,22.2,1.63,1.1,0.0,0.0,11.0,0.89,25.0,223.0,252.0,51.0,0.66,0.038,0.017,0.0,0.066,0.089,10.217,0.55,0.39,8.0,8.0,27.0,57.0
