,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Cucumber_peeled_raw,96.73,12.0,52.0,0.59,0.16,0.36,2.16,14.0,0.22,21.0,136.0,2.0,0.031,0.025,0.037,0.0,0.0
Sweet_potato_leaves_raw,86.81,42.0,175.0,2.49,0.51,1.36,8.82,78.0,0.97,81.0,508.0,6.0,0.156,0.345,1.13,0.0,0.0
Mushrooms_oyster_raw,89.18,33.0,139.0,3.31,0.41,1.01,6.09,3.0,1.33,120.0,420.0,18.0,0.125,0.349,4.956,0.7,29.0
Brussels_sprouts_raw,86.0,43.0,179.0,3.38,0.3,1.37,8.95,42.0,1.4,69.0,389.0,25.0,0.139,0.09,0.745,0.0,0.0
Mushrooms_portabella_exposed_to_ultraviolet_light_raw,92.82,22.0,92.0,2.11,0.35,0.85,3.87,3.0,0.31,108.0,364.0,9.0,0.059,0.13,4.494,28.4,1135.0
Arrowhead_raw,72.48,99.0,414.0,5.33,0.29,1.67,20.23,10.0,2.57,174.0,922.0,22.0,0.17,0.073,1.65,0.0,0.0
Lima_beans_immature_seeds_raw,70.24,113.0,473.0,6.84,0.86,1.89,20.17,34.0,3.14,136.0,467.0,8.0,0.217,0.103,1.474,0.0,0.0
Lotus_root_raw,79.1,74.0,311.0,2.6,0.1,0.97,17.23,45.0,1.16,100.0,556.0,40.0,0.16,0.22,0.4,0.0,0.0
Rutabagas_raw,89.43,37.0,157.0,1.08,0.16,0.71,8.62,43.0,0.44,53.0,305.0,12.0,0.09,0.04,0.7,0.0,0.0
Cauliflower_green_raw,89.79,31.0,130.0,2.95,0.3,0.88,6.09,33.0,0.73,62.0,300.0,23.0,0.08,0.102,0.734,0.0,0.0
Carrots_baby_raw,90.35,35.0,145.0,0.64,0.13,0.63,8.24,32.0,0.89,28.0,237.0,78.0,0.03,0.036,0.556,0.0,0.0
Ginger_root_raw,78.89,80.0,333.0,1.82,0.75,0.77,17.77,16.0,0.6,34.0,415.0,13.0,0.025,0.034,0.75,0.0,0.0
